Raw Material Name,Category,Sub Category,Unit,HSN Code
Liquid Glucose,additives,additives,kg,-
Green Apple Crush,additives,additives,bottle,-
Regular/Non Jain - Green Chili Sauce,additives,additives,bottle,-
Guava Crush,additives,additives,bottle,-
Mint Mocktail Syrup,additives,additives,bottle,-
Kesar Essense-Saffron Essense,additives,additives,bottle,-
Mango Ark-Mango Essense,additives,additives,bottle,-
Orange Essense,additives,additives,bottle,-
Pineapple Essense,additives,additives,bottle,-
Pista Essense-Pistachio Essense,additives,additives,bottle,-
Rose Ark-Rose Essense,additives,additives,bottle,-
Xtendra Chemical For Namkeen,additives,additives,kg,-
Benzoic Acid - E 210,additives,additives,kg,-
Potassium Sorbate E 202,additives,additives,kg,-
Amoniya Powder,additives,additives,kg,-
Apple Green Colour Powder,additives,additives,kg,-
Butter Scotch Dana,additives,additives,kg,-
Butterscotch Crush,additives,additives,bottle,-
Butterscotch Essense,additives,additives,bottle,-
Chocolate Brown Colour Powder,additives,additives,tin,-
Chocolate Powder,additives,additives,kg,-
Cocoa Powder,additives,additives,kg,-
Custard Powder,additives,additives,kg,-
Decoration Star,additives,additives,kg,-
Dynamic Cakemate - Goldan,additives,additives,kg,-
Dynamic Cakemate - Silver,additives,additives,kg,-
Dynamic Cakemate Decorative Rainbow Balls,additives,additives,kg,-
Dynamic Cakemate Decorative Silver Balls,additives,additives,kg,-
Elaichi Ark-Cardamom Essense,additives,additives,litre,-
Fruit Cocktail,additives,additives,kg,-
Guava Essense,additives,additives,bottle,-
Gulkand-Sweet Preserve,additives,additives,kg,-
Hydro Powder - Bengali Sweets,additives,additives,kg,-
Jelly Sweetners,additives,additives,kg,-
Kashmiri Chatni,additives,additives,kg,-
Kesar Yellow Colour (Liq),additives,additives,bottle,-
Kesari Colour Powder,additives,additives,tin,-
Kewda Essense-Pandan Leaf Extract,additives,additives,bottle,-
Kiwi Essence,additives,additives,bottle,-
Lemon Yellow Colour Powder,additives,additives,tin,-
Mango Compound,additives,additives,kg,-
Mango Emulsion,additives,additives,bottle,-
Orange Compound,additives,additives,kg,-
Orange Red Colour Powder,additives,additives,tin,-
Pink Colormist,additives,additives,bottle,-
Rasberry Essence,additives,additives,bottle,-
Raspberry Red Colour Powder,additives,additives,tin,-
Rose Emulsion,additives,additives,bottle,-
Strawberry Compound,additives,additives,kg,-
Strawberry Emulsion E 24992,additives,additives,bottle,-
Strawberry Essense,additives,additives,bottle,-
Sugar Ice,additives,additives,kg,-
Tutty Fruity-Candied Fruit Dices,additives,additives,kg,-
Vanilla Essense,additives,additives,bottle,-
Vanilla Powder,additives,additives,kg,-
